Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
A - Decks/Rec,Row 2 Col 4,Right Arrow Circle,Forward,5,"Move loop forward, or beatjump forward by the specified 'Size Selector'",-,10,29,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Move',"src/streamdeck-xl/icons/button-creator/goforward.png,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 2 Col 5,Tempo MASTER,Set,5,Make the focussed deck the tempo master,-,10,32,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Set as Tempo Master',"src/streamdeck-xl/icons/button-creator/tempo-master.png,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 2 Col 6,LIVE TEMPO PHASE NUDGE,Down,6,Nudge Live's audio output into time with Traktor's by decreasing Live's tempo for as long as the button is held down. The M4L device facilitates mapping the CCs to Live's API (the LOM) to avoid having to MIDI map these controls on a per-set basis,-,10,66,Hold,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,Calls Live's 'Phase Nudge Down' button via M4L device 'CT6 Params',"src/live/CT6 Params.adv,
src/live/CT6 Params.amxd,
src/live/CT6 Rack.adg,
src/live/CT6.als,
src/streamdeck-xl/icons/button-creator/live-tempo-phase-nudge.png"
A - Decks/Rec,Row 2 Col 7,LIVE TEMPO PHASE NUDGE,Up,6,Nudge Live's audio output into time with Traktor's by increasing Live's tempo for as long as the button is held down. The M4L device facilitates mapping the CCs to Live's API (the LOM) to avoid having to MIDI map these controls on a per-set basis,-,10,68,Hold,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,Calls Live's 'Phase Nudge Up' button via M4L device 'CT6 Params',"src/live/CT6 Params.adv,
src/live/CT6 Params.amxd,
src/live/CT6 Rack.adg,
src/live/CT6.als,
src/streamdeck-xl/icons/button-creator/live-tempo-phase-nudge.png"
A - Decks/Rec,Row 3 Col 1,Speaker,"Dry,
Wet",5,Toggle between 100% Dry (loop recorder recording not heard) and 100% Wet (only loop recorder recording heard),-,10,21,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Dry/Wet Adjust',"src/streamdeck-xl/icons/button-creator/speaker.slash.fill.png,
src/streamdeck-xl/icons/button-creator/speaker.fill.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-recorder-dry-wet.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 2,Cross in Circle,Delete,5,Delete the existing loop recording,-,10,15,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Delete (Loop Recorder)',src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 3 Col 3,Ruler,"4 bars,
8 bars,
16 bars,
32 bars",5,Set the size for a new loop recording - note: only works if Delete is used to remove the old recording first,-,10,22,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Size',"src/streamdeck-xl/icons/button-creator/ruler.png,
src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/loop-recorder-size.xml,
src/traktor/CT6 - Streamdeck XL.tsi"
A - Decks/Rec,Row 3 Col 4,Circle,"Record,
Recording",5,Start recording a loop of the specified size,-,10,14,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Record',src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 3 Col 5,Tape Loop,"Record,
Recording",5,Toggle between recording all audio output and not recording,-,10,13,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Record/Stop',src/traktor/CT6 - Streamdeck XL.tsi
A - Decks/Rec,Row 3 Col 6,LIVE CLEAR CLIP,-,6,Remove all clip data - this is much faster than context switching to change Push views to create a new clip and then nudging to get it back in time,-,10,67,Push,"127 (On), 0 (Off)",IAC Drive StreamDeck2Daw,IAC Driver Daw2StreamDeck,Calls ClyphX Pro X-Control,"src/clyphx-pro/X-Controls.txt,
src/streamdeck-xl/icons/button-creator/live-clear-clip.png,
src/traktor/CT6 - Streamdeck XL.tsi"
